Date;Totals
2022;112,801,594,223
2021;104,029,375,706
2020;105,890,446,969
2019;73,536,345,315
2018;61,821,792,421
2017;46,107,666,542
2016;55,750,278,788
2015;57,333,751,899
2014;75,334,319,046
2013;90,073,641,743
2012;95,808,640,755
2011;92,585,525,384
2010;60,439,448,644
2009;42,300,847,722
2008;21,487,336,753
2007;9,833,092,338
2006;13,666,660,759
2005;34,714,264,905
2004;62,139,796,027
2003;71,912,955,980
2002;70,469,729,806
2001;59,901,804,093
2000;49,322,126,517
1999;57,496,136,237
1998;66,739,842,976
1997;52,568,901,205
1996;42,009,082,557
1995;41,586,611,940
1994;30,211,445,450
1993;29,139,537,930
1992;27,771,636,514
1991;26,664,291,722
1990;23,303,762,710
1989;24,649,990,786
1988;26,523,969,177
1987;30,618,322,055
1986;35,348,075,575
1985;37,665,035,197
1984;37,706,647,293
